Symbol,Beta
WBA,
REGN,0.2094
OGN,
MKC,
HRL,0.166608
BIIB,0.192564
SJM,0.213609
CTRA,0.239565
GIS,0.26517
CLX,0.274991
HSY,0.306208
NEM,0.320238
CPB,0.323044
CMS,0.333917
DG,0.334268
VZ,0.33532
ED,0.346895
MRK,0.352507
LLY,0.35391
WEC,0.38162
PG,0.385128
GILD,0.40477
KMB,0.411083
DUK,0.41424
ATVI,0.418098
XEL,0.420904
FE,0.421606
PNW,0.425815
K,0.426517
CME,0.427569
AEE,0.428621
PSA,0.437039
AEP,0.43739
NEE,0.44195
BMY,0.447913
CHD,0.452472
NI,0.454928
D,0.465801
ES,0.466853
KR,0.468607
CL,0.468958
RMD,0.472465
EVRG,0.473868
SO,0.481585
CBOE,0.482988
VRTX,0.484742
SBAC,0.486846
WMT,0.487548
PGR,0.492809
NOC,0.507891
LW,0.510347
LNT,0.51631
JNJ,0.534198
AIZ,0.5349
ABC,0.537004
KO,0.539459
PEP,0.541915
DLR,0.542265
CAG,0.544019
BDX,0.555945
TMUS,0.556296
AMT,0.557348
AWK,0.557699
BAX,0.558049
EXR,0.559102
CNC,0.560855
PEG,0.566117
DTE,0.587863
ALL,0.591371
EXC,0.592423
RE,0.602595
EQIX,0.607506
ATO,0.610662
CVS,0.628902
ETR,0.630655
MO,0.633111
HII,0.635566
CINF,0.645036
AMGN,0.649596
CCI,0.664679
CB,0.671343
CI,0.677306
DLTR,0.681866
AZO,0.692037
HUM,0.723605
INCY,0.737285
HAS,0.739038
BRO,0.751315
ESS,0.759382
DPZ,0.760084
T,0.767099
CAH,0.773412
HSIC,0.776569
BSX,0.785338
COST,0.788495
EIX,0.793756
CTVA,0.79768
GL,0.801473
CHRW,0.801823
DHR,0.802174
INTC,0.810592
EQR,0.815152
ADP,0.819361
GD,0.834093
FMC,0.839354
FIS,0.849526
IBM,0.852332
EA,0.854437
FISV,0.857593
FOXA,0.868952
FOX,0.868952
CNP,0.872325
PEAK,0.877586
AON,0.886706
GPC,0.914065
BIO,0.925289
XRAY,0.928095
ICE,0.929849
SCHW,0.931252
HD,0.934058
GRMN,0.952297
DVA,0.9537
CSCO,0.982111
ECL,0.984216
BR,0.984917
IEX,0.987022
EXPD,0.990178
EL,0.99544
CMCSA,1.000701
EW,1.005612
GPN,1.007716
HOLX,1.011224
CMI,1.011574
STZ,1.01403
HPQ,1.029814
IP,1.043142
CF,1.045948
DE,1.059628
GLW,1.068397
CDNS,1.071904
XOM,1.076464
BK,1.089793
FFIV,1.090494
DXCM,1.094002
IFF,1.097509
CAT,1.098211
BXP,1.105226
CTSH,1.106278
HON,1.11189
IPG,1.113293
ITW,1.116801
AVGO,1.12101
CHTR,1.123114
ETN,1.126622
CDW,1.131532
HBAN,1.134338
FTNT,1.137846
ILMN,1.145562
FRC,1.146615
CVX,1.148018
INTU,1.160645
CARR,1.168028
FTV,1.171168
FAST,1.17222
GNRC,1.175377
IDXX,1.183795
CTLT,1.18625
GE,1.189757
FLT,1.198526
CPRT,1.205892
CSX,1.218519
FRT,1.220273
DRI,1.225534
CMA,1.226587
TECH,1.237109
FITB,1.238162
HLT,1.238162
HPE,1.249386
DD,1.250438
DAL,1.258856
IT,1.280252
ISRG,1.294282
HWM,1.294984
BLK,1.297088
CMG,1.301648
CE,1.304454
COP,1.306559
BEN,1.309365
BKNG,1.314626
HST,1.31673
FDX,1.322343
CTAS,1.33041
DOW,1.331439
DOV,1.339179
CFG,1.343388
IVZ,1.349351
CRL,1.359172
EBAY,1.363381
GM,1.374956
CBRE,1.383725
EMR,1.391441
BWA,1.410031
GS,1.422658
IR,1.427218
KMX,1.432479
BA,1.435636
EFX,1.44686
CDAY,1.451161
DFS,1.461943
ENPH,1.484742
COF,1.494563
EMN,1.504384
